Sno,Customer,Tender Details,Description,Target Submission date,Submission Date,Notes ,Status,Business Owner,Bid Owner,Tender Bond Readiness,Tender Value,Validity,Mode of Submission,Days left,Reformatted Date,Rank,N/A
1,CCQ,6255/2025,Community College of Qatar Tender - Student Advising Management Platform,12/11/2025,12/17/2025,Fadil to reach out to Arun to get template,Submitted,Arasu,Elfadil, Yet to be approved ," 66,720.00 ",120,monaqasat,,,,
2,CCQ,6128/2025,Call-off Agreement - Managed IT Business Applications Services for 37 Months,12/21/2025,12/22/2025,,pending,Arasu,Bala/Elfadil, Yet to be approved ," 111,000.00 ",120,monaqasat,,,,
3,MSDF,5158-2025,Business Continuity Management and ISO Certification,12/31/2025,1/1/2026,Working with Partners,In Progress,Arasu,Bala/Qasim, In process ," 30,000.00 ",120,monaqasat,,,,
4,National Planning Council,7128-2025,Security VA Project through SAST and DAST Testing,12/21/2025,12/22/2025,Working with Partners,pending,Arasu,Bala/Qasim, Yet to be approved ," 25,000.00 ",120,monaqasat,,,,
5,QatarEnergy,RFQ_GT25113200,PMO SERVICES FOR QATARENERGY SOCIAL RESPONSIBILITY PROJECTS,1/11/2026,1/11/2026,Evaluating the Tender Document,pending,Arasu,, Yet to be approved ,,150,QatarEnergy Mushtaryat Portal,,,,
1,Qatar Museums,2025-691,Library Management Systems Support (2025-2026),,,nil,Regret Letter,Arasu,,,,,,,,,
2,QDB,RFQID,SailPoint Renewal,,,nil,Regret Letter,Arasu,,,,,,,,,
3,Qatar Foundation,2025- 918,Energy Management System at Various QF Facilities,,,nil,Regret Letter,Arasu,,,,,,,,,
4,MOF,2024-5394,"Updating Desktop, system, monitors and other devices",,,nil,Regret Letter,Arasu,,Not worth to participate,,, Bala to confirm morning of 11/3  ,,,,
5,Qatar University,2025-1128,Project Management as a Service,,,nil,Regret Letter,Arasu,,,,,,,,,
6,Aspire Zone,2025-1146,"Supply,Install and Maintenance Giant Screen at Various",,,nil,Regret Letter,Arasu,," 900,000.00 ",,,,,,,
7,QPMC,2025- 965,Asset Management System Using RFID Tagging,,,nil,Regret Letter,Arasu,,to be confirmed 11th March," 7,000.00 ", 120 Days ,Request for Extension,,,,
8,MCIT,2025-719,Framework Agreement for consultation services,,,nil,Regret Letter,Arasu,,," 150,000.00 ", 120 Days ,Tender Bond Extension,,,,
